"Strategies","left","rope","right"
"EBR-C5.0 x ECC-C5.0",0.58,0.41,0.02
"EBR-C5.0 x MBR-C5.0",1,0,0
"EBR-C5.0 x NS-C5.0",1,0,0
"EBR-C5.0 x PruDent-C5.0",1,0,0
"EBR-C5.0 x RDBR-C5.0",1,0,0
"EBR-C5.0 x BR-LR",0.97,0,0.03
"EBR-C5.0 x BR+-LR",0.89,0,0.11
"EBR-C5.0 x CC-LR",0.92,0,0.08
"EBR-C5.0 x DBR-LR",0.87,0,0.13
"EBR-C5.0 x EBR-LR",0.28,0,0.72
"EBR-C5.0 x ECC-LR",0.3,0,0.7
"EBR-C5.0 x MBR-LR",0.93,0,0.07
"EBR-C5.0 x NS-LR",0.98,0,0.02
"EBR-C5.0 x PruDent-LR",0.95,0,0.05
"EBR-C5.0 x RDBR-LR",0.86,0,0.14
"EBR-C5.0 x BR-RF",1,0,0
"EBR-C5.0 x BR+-RF",1,0,0
"EBR-C5.0 x CC-RF",1,0,0
"EBR-C5.0 x DBR-RF",1,0,0
"EBR-C5.0 x EBR-RF",0.72,0,0.28
"EBR-C5.0 x ECC-RF",0.61,0,0.39
"EBR-C5.0 x MBR-RF",1,0,0
"EBR-C5.0 x NS-RF",1,0,0
"EBR-C5.0 x PruDent-RF",1,0,0
"EBR-C5.0 x RDBR-RF",1,0,0
"EBR-C5.0 x BR-SVM",0.96,0,0.04
"EBR-C5.0 x BR+-SVM",0.88,0,0.12
"EBR-C5.0 x CC-SVM",0.93,0,0.07
"EBR-C5.0 x DBR-SVM",0.87,0,0.13
"EBR-C5.0 x EBR-SVM",0.04,0,0.96
"EBR-C5.0 x ECC-SVM",0.01,0,0.99
"EBR-C5.0 x MBR-SVM",0.95,0,0.05
"EBR-C5.0 x NS-SVM",0.97,0,0.03
"EBR-C5.0 x PruDent-SVM",0.95,0,0.05
"EBR-C5.0 x RDBR-SVM",0.86,0,0.14
"EBR-C5.0 x BR-SVMt",0.86,0,0.13
"EBR-C5.0 x BR+-SVMt",0.56,0,0.44
"EBR-C5.0 x CC-SVMt",0.63,0,0.37
"EBR-C5.0 x DBR-SVMt",0.5,0,0.5
"EBR-C5.0 x EBR-SVMt",0.01,0,0.99
"EBR-C5.0 x ECC-SVMt",0.02,0,0.98
"EBR-C5.0 x MBR-SVMt",0.75,0,0.25
"EBR-C5.0 x NS-SVMt",0.73,0,0.27
"EBR-C5.0 x PruDent-SVMt",0.84,0,0.16
"EBR-C5.0 x RDBR-SVMt",0.45,0,0.55
"EBR-C5.0 x BR-XGB",0.69,0,0.31
"EBR-C5.0 x BR+-XGB",0.54,0,0.46
"EBR-C5.0 x CC-XGB",0.84,0.01,0.15
"EBR-C5.0 x DBR-XGB",0.44,0,0.56
"EBR-C5.0 x EBR-XGB",0,0,1
"EBR-C5.0 x ECC-XGB",0,0,1
"EBR-C5.0 x MBR-XGB",0.65,0,0.35
"EBR-C5.0 x NS-XGB",0.79,0,0.2
"EBR-C5.0 x PruDent-XGB",0.63,0,0.37
"EBR-C5.0 x RDBR-XGB",0.56,0,0.44
"ECC-C5.0 x MBR-C5.0",1,0,0
"ECC-C5.0 x NS-C5.0",1,0,0
"ECC-C5.0 x PruDent-C5.0",1,0,0
"ECC-C5.0 x RDBR-C5.0",1,0,0
"ECC-C5.0 x BR-LR",0.92,0,0.08
"ECC-C5.0 x BR+-LR",0.74,0,0.26
"ECC-C5.0 x CC-LR",0.8,0,0.2
"ECC-C5.0 x DBR-LR",0.73,0,0.27
"ECC-C5.0 x EBR-LR",0.2,0,0.8
"ECC-C5.0 x ECC-LR",0.24,0,0.76
"ECC-C5.0 x MBR-LR",0.79,0,0.21
"ECC-C5.0 x NS-LR",0.93,0,0.07
"ECC-C5.0 x PruDent-LR",0.85,0,0.15
"ECC-C5.0 x RDBR-LR",0.71,0,0.29
"ECC-C5.0 x BR-RF",1,0,0
"ECC-C5.0 x BR+-RF",1,0,0
"ECC-C5.0 x CC-RF",1,0,0
"ECC-C5.0 x DBR-RF",0.99,0,0.01
"ECC-C5.0 x EBR-RF",0.48,0,0.52
"ECC-C5.0 x ECC-RF",0.4,0,0.6
"ECC-C5.0 x MBR-RF",0.99,0,0.01
"ECC-C5.0 x NS-RF",0.99,0,0.01
"ECC-C5.0 x PruDent-RF",1,0,0
"ECC-C5.0 x RDBR-RF",1,0,0
"ECC-C5.0 x BR-SVM",0.9,0,0.1
"ECC-C5.0 x BR+-SVM",0.72,0,0.28
"ECC-C5.0 x CC-SVM",0.81,0,0.19
"ECC-C5.0 x DBR-SVM",0.69,0,0.31
"ECC-C5.0 x EBR-SVM",0.03,0,0.97
"ECC-C5.0 x ECC-SVM",0.01,0,0.99
"ECC-C5.0 x MBR-SVM",0.84,0,0.16
"ECC-C5.0 x NS-SVM",0.89,0,0.11
"ECC-C5.0 x PruDent-SVM",0.88,0,0.12
"ECC-C5.0 x RDBR-SVM",0.68,0,0.32
"ECC-C5.0 x BR-SVMt",0.73,0,0.27
"ECC-C5.0 x BR+-SVMt",0.36,0,0.64
"ECC-C5.0 x CC-SVMt",0.44,0,0.56
"ECC-C5.0 x DBR-SVMt",0.32,0,0.68
"ECC-C5.0 x EBR-SVMt",0.01,0,0.99
"ECC-C5.0 x ECC-SVMt",0.01,0,0.99
"ECC-C5.0 x MBR-SVMt",0.58,0,0.42
"ECC-C5.0 x NS-SVMt",0.53,0,0.47
"ECC-C5.0 x PruDent-SVMt",0.69,0,0.31
"ECC-C5.0 x RDBR-SVMt",0.28,0,0.72
"ECC-C5.0 x BR-XGB",0.43,0,0.57
"ECC-C5.0 x BR+-XGB",0.25,0,0.75
"ECC-C5.0 x CC-XGB",0.55,0.03,0.43
"ECC-C5.0 x DBR-XGB",0.2,0,0.8
"ECC-C5.0 x EBR-XGB",0,0,1
"ECC-C5.0 x ECC-XGB",0,0,1
"ECC-C5.0 x MBR-XGB",0.39,0,0.61
"ECC-C5.0 x NS-XGB",0.47,0.01,0.52
"ECC-C5.0 x PruDent-XGB",0.4,0,0.6
"ECC-C5.0 x RDBR-XGB",0.3,0,0.7
"MBR-C5.0 x NS-C5.0",0.93,0.07,0
"MBR-C5.0 x PruDent-C5.0",0.74,0.23,0.02
"MBR-C5.0 x RDBR-C5.0",0.81,0.18,0
"MBR-C5.0 x BR-LR",0.09,0,0.91
"MBR-C5.0 x BR+-LR",0.02,0,0.98
"MBR-C5.0 x CC-LR",0.02,0,0.98
"MBR-C5.0 x DBR-LR",0.02,0,0.98
"MBR-C5.0 x EBR-LR",0,0,1
"MBR-C5.0 x ECC-LR",0,0,1
"MBR-C5.0 x MBR-LR",0.04,0,0.96
"MBR-C5.0 x NS-LR",0.07,0,0.93
"MBR-C5.0 x PruDent-LR",0.05,0,0.95
"MBR-C5.0 x RDBR-LR",0.01,0,0.99
"MBR-C5.0 x BR-RF",0.56,0,0.44
"MBR-C5.0 x BR+-RF",0.48,0,0.52
"MBR-C5.0 x CC-RF",0.5,0,0.5
"MBR-C5.0 x DBR-RF",0.48,0,0.52
"MBR-C5.0 x EBR-RF",0,0,1
"MBR-C5.0 x ECC-RF",0,0,1
"MBR-C5.0 x MBR-RF",0.55,0,0.45
"MBR-C5.0 x NS-RF",0.43,0,0.57
"MBR-C5.0 x PruDent-RF",0.52,0,0.48
"MBR-C5.0 x RDBR-RF",0.52,0,0.48
"MBR-C5.0 x BR-SVM",0.08,0,0.92
"MBR-C5.0 x BR+-SVM",0.02,0,0.98
"MBR-C5.0 x CC-SVM",0.02,0,0.98
"MBR-C5.0 x DBR-SVM",0.02,0,0.98
"MBR-C5.0 x EBR-SVM",0,0,1
"MBR-C5.0 x ECC-SVM",0,0,1
"MBR-C5.0 x MBR-SVM",0.04,0,0.96
"MBR-C5.0 x NS-SVM",0.06,0,0.94
"MBR-C5.0 x PruDent-SVM",0.08,0,0.92
"MBR-C5.0 x RDBR-SVM",0.01,0,0.99
"MBR-C5.0 x BR-SVMt",0.03,0,0.97
"MBR-C5.0 x BR+-SVMt",0,0,1
"MBR-C5.0 x CC-SVMt",0.01,0,0.99
"MBR-C5.0 x DBR-SVMt",0,0,1
"MBR-C5.0 x EBR-SVMt",0,0,1
"MBR-C5.0 x ECC-SVMt",0,0,1
"MBR-C5.0 x MBR-SVMt",0.02,0,0.98
"MBR-C5.0 x NS-SVMt",0.01,0,0.99
"MBR-C5.0 x PruDent-SVMt",0.03,0,0.97
"MBR-C5.0 x RDBR-SVMt",0,0,1
"MBR-C5.0 x BR-XGB",0,0,1
"MBR-C5.0 x BR+-XGB",0,0,1
"MBR-C5.0 x CC-XGB",0,0,1
"MBR-C5.0 x DBR-XGB",0,0,1
