"Strategies","left","rope","right"
"BR+-C5.0 x ECC-SVM",0,0,1
"BR+-C5.0 x ECC-SVMt",0,0,1
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-C5.0",0,0.82,0.18
"BR+-C5.0 x MBR-LR",0,0,1
"BR+-C5.0 x MBR-RF",0,0,1
"BR+-C5.0 x MBR-SVM",0,0,1
"BR+-C5.0 x MBR-SVMt",0,0,1
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-C5.0",0,0.91,0.09
"BR+-C5.0 x NS-LR",0,0,1
"BR+-C5.0 x NS-RF",0,0,1
"BR+-C5.0 x NS-SVM",0,0,1
"BR+-C5.0 x NS-SVMt",0,0,1
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-C5.0",0,0.83,0.17
"BR+-C5.0 x PruDent-LR",0,0,1
"BR+-C5.0 x PruDent-RF",0,0,1
"BR+-C5.0 x PruDent-SVM",0,0,1
"BR+-C5.0 x PruDent-SVMt",0,0,1
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x RDBR-LR",0,0,1
"BR+-C5.0 x RDBR-RF",0,0,1
"BR+-C5.0 x RDBR-SVM",0,0,1
"BR+-C5.0 x RDBR-SVMt",0,0,1
"BR+-C5.0 x RDBR-XGB",0,0,1
"BR+-LR x BR-RF",0.33,0,0.67
"BR+-LR x BR-SVM",0.01,0.99,0
"BR+-LR x BR-SVMt",0.42,0.44,0.14
"BR+-LR x BR-XGB",0.26,0,0.74
"BR+-LR x BR+-RF",0.43,0.01,0.56
"BR+-LR x BR+-SVM",0,1,0
"BR+-LR x BR+-SVMt",0.15,0.57,0.28
"BR+-LR x BR+-XGB",0.33,0.01,0.66
"BR+-LR x CC-LR",0,1,0
"BR+-LR x CC-RF",0.38,0.01,0.62
"BR+-LR x CC-SVM",0,1,0
"BR+-LR x CC-SVMt",0.27,0.51,0.22
"BR+-LR x CC-XGB",0.57,0,0.43
"BR+-LR x DBR-LR",0,1,0
"BR+-LR x DBR-RF",0.39,0,0.6
"BR+-LR x DBR-SVM",0,1,0
"BR+-LR x DBR-SVMt",0.24,0.48,0.27
"BR+-LR x DBR-XGB",0.34,0.01,0.65
"BR+-LR x EBR-LR",0.3,0.08,0.62
"BR+-LR x EBR-RF",0,0,1
"BR+-LR x EBR-SVM",0.01,0.01,0.98
"BR+-LR x EBR-SVMt",0.05,0,0.95
"BR+-LR x EBR-XGB",0,0,1
"BR+-LR x ECC-LR",0.31,0.04,0.65
"BR+-LR x ECC-RF",0.01,0,0.99
"BR+-LR x ECC-SVM",0.01,0.01,0.98
"BR+-LR x ECC-SVMt",0.07,0,0.93
"BR+-LR x ECC-XGB",0,0,1
"BR+-LR x MBR-LR",0,0.98,0.02
"BR+-LR x MBR-RF",0.33,0,0.67
"BR+-LR x MBR-SVM",0,1,0
"BR+-LR x MBR-SVMt",0.13,0.69,0.18
"BR+-LR x MBR-XGB",0.24,0,0.76
"BR+-LR x NS-LR",0.01,0.99,0
"BR+-LR x NS-RF",0.36,0,0.64
"BR+-LR x NS-SVM",0,1,0
"BR+-LR x NS-SVMt",0.23,0.56,0.21
"BR+-LR x NS-XGB",0.47,0,0.53
"BR+-LR x PruDent-LR",0,1,0
"BR+-LR x PruDent-RF",0.3,0,0.7
"BR+-LR x PruDent-SVM",0,1,0
"BR+-LR x PruDent-SVMt",0.14,0.79,0.07
"BR+-LR x PruDent-XGB",0.24,0,0.76
"BR+-LR x RDBR-LR",0,1,0
"BR+-LR x RDBR-RF",0.46,0.01,0.53
"BR+-LR x RDBR-SVM",0,1,0
"BR+-LR x RDBR-SVMt",0.12,0.45,0.43
"BR+-LR x RDBR-XGB",0.31,0.01,0.68
"BR+-RF x BR-SVM",0.66,0.04,0.29
"BR+-RF x BR-SVMt",0.34,0.16,0.5
"BR+-RF x BR-XGB",0.15,0.32,0.53
"BR+-RF x BR+-SVM",0.53,0.01,0.46
"BR+-RF x BR+-SVMt",0.13,0.03,0.84
"BR+-RF x BR+-XGB",0.16,0.34,0.5
"BR+-RF x CC-RF",0,1,0
"BR+-RF x CC-SVM",0.67,0.03,0.3
"BR+-RF x CC-SVMt",0.19,0.12,0.69
"BR+-RF x CC-XGB",0.62,0.02,0.36
"BR+-RF x DBR-RF",0,1,0
"BR+-RF x DBR-SVM",0.59,0,0.41
"BR+-RF x DBR-SVMt",0.18,0.01,0.81
"BR+-RF x DBR-XGB",0.16,0.27,0.57
"BR+-RF x EBR-RF",0,0,1
"BR+-RF x EBR-SVM",0.14,0,0.86
"BR+-RF x EBR-SVMt",0.08,0.01,0.92
"BR+-RF x EBR-XGB",0,0,1
"BR+-RF x ECC-RF",0,0,1
"BR+-RF x ECC-SVM",0.13,0,0.87
"BR+-RF x ECC-SVMt",0.08,0.01,0.92
"BR+-RF x ECC-XGB",0,0,1
"BR+-RF x MBR-RF",0,1,0
"BR+-RF x MBR-SVM",0.49,0.05,0.45
"BR+-RF x MBR-SVMt",0.34,0.01,0.65
"BR+-RF x MBR-XGB",0.1,0.24,0.66
"BR+-RF x NS-RF",0,1,0
"BR+-RF x NS-SVM",0.59,0.03,0.38
"BR+-RF x NS-SVMt",0.34,0.09,0.57
"BR+-RF x NS-XGB",0.35,0.19,0.46
"BR+-RF x PruDent-RF",0,1,0
"BR+-RF x PruDent-SVM",0.67,0.04,0.29
"BR+-RF x PruDent-SVMt",0.26,0.1,0.64
"BR+-RF x PruDent-XGB",0.11,0.34,0.55
"BR+-RF x RDBR-RF",0,1,0
"BR+-RF x RDBR-SVM",0.5,0.01,0.5
"BR+-RF x RDBR-SVMt",0.08,0,0.92
"BR+-RF x RDBR-XGB",0.17,0.2,0.63
