"Strategies","left","rope","right"
"RDBR-C5.0 x BR+-RF",0,0,1
"RDBR-C5.0 x CC-RF",0,0,1
"RDBR-C5.0 x DBR-RF",0,0,1
"RDBR-C5.0 x EBR-RF",0.26,0,0.74
"RDBR-C5.0 x ECC-RF",0.21,0,0.79
"RDBR-C5.0 x MBR-RF",0,0,1
"RDBR-C5.0 x NS-RF",0,0,1
"RDBR-C5.0 x PruDent-RF",0,0,1
"RDBR-C5.0 x RDBR-RF",0,0,1
"RDBR-C5.0 x BR-SVM",0,0,1
"RDBR-C5.0 x BR+-SVM",0,0,1
"RDBR-C5.0 x CC-SVM",0,0,1
"RDBR-C5.0 x DBR-SVM",0,0,1
"RDBR-C5.0 x EBR-SVM",0.04,0,0.96
"RDBR-C5.0 x ECC-SVM",0.03,0,0.97
"RDBR-C5.0 x MBR-SVM",0,0,1
"RDBR-C5.0 x NS-SVM",0,0,1
"RDBR-C5.0 x PruDent-SVM",0,0,1
"RDBR-C5.0 x RDBR-SVM",0,0,1
"RDBR-C5.0 x BR-SVMt",0,0,1
"RDBR-C5.0 x BR+-SVMt",0,0,1
"RDBR-C5.0 x CC-SVMt",0,0,1
"RDBR-C5.0 x DBR-SVMt",0,0,1
"RDBR-C5.0 x EBR-SVMt",0.01,0,0.99
"RDBR-C5.0 x ECC-SVMt",0,0,1
"RDBR-C5.0 x MBR-SVMt",0,0,1
"RDBR-C5.0 x NS-SVMt",0,0,1
"RDBR-C5.0 x PruDent-SVMt",0,0,1
"RDBR-C5.0 x RDBR-SVMt",0,0,1
"RDBR-C5.0 x BR-XGB",0,0,1
"RDBR-C5.0 x BR+-XGB",0,0,1
"RDBR-C5.0 x CC-XGB",0,0,1
"RDBR-C5.0 x DBR-XGB",0,0,1
"RDBR-C5.0 x EBR-XGB",0,0,1
"RDBR-C5.0 x ECC-XGB",0,0,1
"RDBR-C5.0 x MBR-XGB",0,0,1
"RDBR-C5.0 x NS-XGB",0,0,1
