"Strategies","left","rope","right"
"BR+-LR x MBR-SVMt",0.05,0.81,0.14
"BR+-LR x MBR-XGB",0.09,0,0.91
"BR+-LR x NS-LR",0.96,0.03,0
"BR+-LR x NS-RF",0.99,0,0.01
"BR+-LR x NS-SVM",0.7,0.3,0.01
"BR+-LR x NS-SVMt",0.53,0.01,0.46
"BR+-LR x NS-XGB",0.25,0,0.75
"BR+-LR x PruDent-LR",0.39,0.58,0.04
"BR+-LR x PruDent-RF",1,0,0
"BR+-LR x PruDent-SVM",0.5,0.5,0
"BR+-LR x PruDent-SVMt",0.56,0.3,0.14
"BR+-LR x PruDent-XGB",0.09,0,0.91
"BR+-LR x RDBR-LR",0,1,0
"BR+-LR x RDBR-RF",1,0,0
"BR+-LR x RDBR-SVM",0,1,0
"BR+-LR x RDBR-SVMt",0.1,0.18,0.72
"BR+-LR x RDBR-XGB",0.1,0,0.9
"BR+-RF x BR-SVM",0.04,0,0.96
"BR+-RF x BR-SVMt",0.06,0,0.93
"BR+-RF x BR-XGB",0,0,1
"BR+-RF x BR+-SVM",0,0,1
"BR+-RF x BR+-SVMt",0.01,0,0.99
"BR+-RF x BR+-XGB",0,0,1
"BR+-RF x CC-RF",0,1,0
"BR+-RF x CC-SVM",0.01,0,0.99
"BR+-RF x CC-SVMt",0.02,0,0.98
"BR+-RF x CC-XGB",0,0,1
"BR+-RF x DBR-RF",0,1,0
"BR+-RF x DBR-SVM",0,0,1
"BR+-RF x DBR-SVMt",0.01,0,0.99
"BR+-RF x DBR-XGB",0,0,1
"BR+-RF x EBR-RF",0,0,1
"BR+-RF x EBR-SVM",0,0,1
"BR+-RF x EBR-SVMt",0,0,1
"BR+-RF x EBR-XGB",0,0,1
"BR+-RF x ECC-RF",0,0,1
"BR+-RF x ECC-SVM",0,0,1
"BR+-RF x ECC-SVMt",0,0,1
"BR+-RF x ECC-XGB",0,0,1
"BR+-RF x MBR-RF",0.04,0.93,0.02
"BR+-RF x MBR-SVM",0.02,0,0.98
"BR+-RF x MBR-SVMt",0.07,0,0.93
"BR+-RF x MBR-XGB",0,0,1
"BR+-RF x NS-RF",0,0.99,0
"BR+-RF x NS-SVM",0.02,0,0.98
"BR+-RF x NS-SVMt",0.05,0,0.95
"BR+-RF x NS-XGB",0,0,1
"BR+-RF x PruDent-RF",0.01,0.98,0.01
"BR+-RF x PruDent-SVM",0.04,0,0.96
"BR+-RF x PruDent-SVMt",0.06,0,0.94
"BR+-RF x PruDent-XGB",0,0,1
"BR+-RF x RDBR-RF",0,1,0
"BR+-RF x RDBR-SVM",0,0,1
"BR+-RF x RDBR-SVMt",0.01,0,0.99
"BR+-RF x RDBR-XGB",0,0,1
"BR+-SVM x BR-SVMt",0.72,0.12,0.16
"BR+-SVM x BR-XGB",0.11,0,0.89
"BR+-SVM x BR+-SVMt",0.17,0.08,0.74
"BR+-SVM x BR+-XGB",0.12,0,0.88
"BR+-SVM x CC-SVM",0.03,0.97,0
"BR+-SVM x CC-SVMt",0.37,0.06,0.57
"BR+-SVM x CC-XGB",0.28,0,0.72
"BR+-SVM x DBR-SVM",0,1,0
"BR+-SVM x DBR-SVMt",0.17,0.14,0.69
"BR+-SVM x DBR-XGB",0.08,0,0.92
"BR+-SVM x EBR-SVM",0,0,1
"BR+-SVM x EBR-SVMt",0,0,1
"BR+-SVM x EBR-XGB",0,0,1
"BR+-SVM x ECC-SVM",0,0,1
"BR+-SVM x ECC-SVMt",0.01,0,0.99
"BR+-SVM x ECC-XGB",0,0,1
"BR+-SVM x MBR-SVM",0.44,0.48,0.08
"BR+-SVM x MBR-SVMt",0.05,0.79,0.16
"BR+-SVM x MBR-XGB",0.09,0,0.91
"BR+-SVM x NS-SVM",0.67,0.31,0.01
"BR+-SVM x NS-SVMt",0.51,0.01,0.48
"BR+-SVM x NS-XGB",0.25,0,0.75
"BR+-SVM x PruDent-SVM",0.5,0.49,0
"BR+-SVM x PruDent-SVMt",0.62,0.27,0.12
"BR+-SVM x PruDent-XGB",0.09,0,0.91
"BR+-SVM x RDBR-SVM",0,1,0
"BR+-SVM x RDBR-SVMt",0.13,0.1,0.76
"BR+-SVM x RDBR-XGB",0.11,0,0.89
"BR+-SVMt x BR-XGB",0.47,0,0.53
"BR+-SVMt x BR+-XGB",0.33,0.01,0.66
"BR+-SVMt x CC-SVMt",0.03,0.97,0
"BR+-SVMt x CC-XGB",0.45,0,0.55
"BR+-SVMt x DBR-SVMt",0,1,0
"BR+-SVMt x DBR-XGB",0.23,0,0.76
"BR+-SVMt x EBR-SVMt",0.01,0,0.99
"BR+-SVMt x EBR-XGB",0,0,1
"BR+-SVMt x ECC-SVMt",0,0,1
"BR+-SVMt x ECC-XGB",0,0,1
"BR+-SVMt x MBR-SVMt",0.19,0.78,0.02
"BR+-SVMt x MBR-XGB",0.42,0,0.57
"BR+-SVMt x NS-SVMt",0.17,0.82,0
"BR+-SVMt x NS-XGB",0.5,0,0.49
"BR+-SVMt x PruDent-SVMt",0.97,0.02,0.01
"BR+-SVMt x PruDent-XGB",0.43,0,0.57
"BR+-SVMt x RDBR-SVMt",0,1,0
"BR+-SVMt x RDBR-XGB",0.33,0,0.67
"BR+-XGB x CC-XGB",0.06,0.93,0
"BR+-XGB x DBR-XGB",0,1,0
"BR+-XGB x EBR-XGB",0,0,1
"BR+-XGB x ECC-XGB",0,0,1
"BR+-XGB x MBR-XGB",0.06,0.88,0.05
"BR+-XGB x NS-XGB",0.31,0.68,0.01
"BR+-XGB x PruDent-XGB",0.08,0.88,0.04
"BR+-XGB x RDBR-XGB",0,1,0
"CC-C5.0 x BR-LR",0.04,0,0.96
"CC-C5.0 x BR-RF",0.36,0,0.64
"CC-C5.0 x BR-SVM",0.04,0,0.96
"CC-C5.0 x BR-SVMt",0.12,0,0.88
"CC-C5.0 x BR-XGB",0,0,1
"CC-C5.0 x BR+-LR",0.01,0,0.99
"CC-C5.0 x BR+-RF",0.32,0,0.68
"CC-C5.0 x BR+-SVM",0.01,0,0.99
"CC-C5.0 x BR+-SVMt",0.02,0,0.98
"CC-C5.0 x BR+-XGB",0,0,1
"CC-C5.0 x CC-LR",0.01,0,0.99
"CC-C5.0 x CC-RF",0.33,0,0.67
"CC-C5.0 x CC-SVM",0.01,0,0.99
"CC-C5.0 x CC-SVMt",0.05,0,0.95
"CC-C5.0 x CC-XGB",0,0,1
"CC-C5.0 x DBR-C5.0",0,1,0
"CC-C5.0 x DBR-LR",0.01,0,0.99
"CC-C5.0 x DBR-RF",0.33,0,0.67
"CC-C5.0 x DBR-SVM",0.01,0,0.99
"CC-C5.0 x DBR-SVMt",0.02,0,0.98
"CC-C5.0 x DBR-XGB",0,0,1
"CC-C5.0 x EBR-C5.0",0,0,1
