"Strategies","left","rope","right"
"BR+-LR x PruDent-SVM",0.03,0.97,0
"BR+-LR x PruDent-SVMt",0.14,0.84,0.01
"BR+-LR x PruDent-XGB",0.62,0.12,0.26
"BR+-LR x RDBR-LR",0,1,0
"BR+-LR x RDBR-RF",0.18,0.02,0.79
"BR+-LR x RDBR-SVM",0,1,0
"BR+-LR x RDBR-SVMt",0.01,0.93,0.06
"BR+-LR x RDBR-XGB",0.14,0.07,0.79
"BR+-RF x BR-SVM",0.96,0,0.03
"BR+-RF x BR-SVMt",0.66,0.27,0.07
"BR+-RF x BR-XGB",0.99,0,0.01
"BR+-RF x BR+-SVM",0.77,0.02,0.21
"BR+-RF x BR+-SVMt",0.09,0.55,0.36
"BR+-RF x BR+-XGB",0.24,0.67,0.09
"BR+-RF x CC-RF",0,1,0
"BR+-RF x CC-SVM",0.89,0.03,0.08
"BR+-RF x CC-SVMt",0.34,0.29,0.38
"BR+-RF x CC-XGB",0.83,0.03,0.14
"BR+-RF x DBR-RF",0,1,0
"BR+-RF x DBR-SVM",0.78,0.06,0.16
"BR+-RF x DBR-SVMt",0.31,0.42,0.27
"BR+-RF x DBR-XGB",0.6,0.35,0.05
"BR+-RF x EBR-RF",1,0,0
"BR+-RF x EBR-SVM",1,0,0
"BR+-RF x EBR-SVMt",1,0,0
"BR+-RF x EBR-XGB",1,0,0
"BR+-RF x ECC-RF",1,0,0
"BR+-RF x ECC-SVM",1,0,0
"BR+-RF x ECC-SVMt",1,0,0
"BR+-RF x ECC-XGB",0.99,0,0.01
"BR+-RF x MBR-RF",0.45,0.54,0.01
"BR+-RF x MBR-SVM",0.96,0,0.04
"BR+-RF x MBR-SVMt",0.77,0.07,0.16
"BR+-RF x MBR-XGB",0.98,0,0.02
"BR+-RF x NS-RF",0,1,0
"BR+-RF x NS-SVM",0.78,0.05,0.17
"BR+-RF x NS-SVMt",0.49,0.03,0.47
"BR+-RF x NS-XGB",0.68,0.08,0.23
"BR+-RF x PruDent-RF",0.2,0.8,0
"BR+-RF x PruDent-SVM",0.91,0.02,0.06
"BR+-RF x PruDent-SVMt",0.38,0.5,0.12
"BR+-RF x PruDent-XGB",0.94,0.04,0.02
"BR+-RF x RDBR-RF",0,1,0
"BR+-RF x RDBR-SVM",0.66,0.03,0.31
"BR+-RF x RDBR-SVMt",0.12,0.2,0.67
"BR+-RF x RDBR-XGB",0.27,0.46,0.27
"BR+-SVM x BR-SVMt",0.37,0.61,0.02
"BR+-SVM x BR-XGB",0.66,0.08,0.26
"BR+-SVM x BR+-SVMt",0.02,0.95,0.03
"BR+-SVM x BR+-XGB",0.21,0.05,0.74
"BR+-SVM x CC-SVM",0,1,0
"BR+-SVM x CC-SVMt",0.11,0.85,0.04
"BR+-SVM x CC-XGB",0.45,0,0.54
"BR+-SVM x DBR-SVM",0,1,0
"BR+-SVM x DBR-SVMt",0.16,0.81,0.03
"BR+-SVM x DBR-XGB",0.31,0.06,0.63
"BR+-SVM x EBR-SVM",1,0,0
"BR+-SVM x EBR-SVMt",0.99,0,0.01
"BR+-SVM x EBR-XGB",0.92,0,0.08
"BR+-SVM x ECC-SVM",1,0,0
"BR+-SVM x ECC-SVMt",0.98,0,0.02
"BR+-SVM x ECC-XGB",0.77,0,0.23
"BR+-SVM x MBR-SVM",0.2,0.8,0
"BR+-SVM x MBR-SVMt",0.38,0.6,0.02
"BR+-SVM x MBR-XGB",0.64,0.08,0.29
"BR+-SVM x NS-SVM",0,1,0
"BR+-SVM x NS-SVMt",0.13,0.57,0.3
"BR+-SVM x NS-XGB",0.35,0.05,0.6
"BR+-SVM x PruDent-SVM",0.03,0.97,0
"BR+-SVM x PruDent-SVMt",0.16,0.84,0.01
"BR+-SVM x PruDent-XGB",0.62,0.09,0.3
"BR+-SVM x RDBR-SVM",0,1,0
"BR+-SVM x RDBR-SVMt",0.01,0.89,0.1
"BR+-SVM x RDBR-XGB",0.16,0.05,0.79
"BR+-SVMt x BR-XGB",0.96,0.01,0.03
"BR+-SVMt x BR+-XGB",0.12,0.82,0.06
"BR+-SVMt x CC-SVMt",0,1,0
"BR+-SVMt x CC-XGB",0.25,0.69,0.06
"BR+-SVMt x DBR-SVMt",0,1,0
"BR+-SVMt x DBR-XGB",0.78,0.09,0.12
"BR+-SVMt x EBR-SVMt",1,0,0
"BR+-SVMt x EBR-XGB",0.99,0,0.01
"BR+-SVMt x ECC-SVMt",1,0,0
"BR+-SVMt x ECC-XGB",0.9,0.06,0.04
"BR+-SVMt x MBR-SVMt",0.02,0.98,0
"BR+-SVMt x MBR-XGB",0.88,0.06,0.05
"BR+-SVMt x NS-SVMt",0.03,0.93,0.03
"BR+-SVMt x NS-XGB",0.26,0.6,0.15
"BR+-SVMt x PruDent-SVMt",0.11,0.89,0
"BR+-SVMt x PruDent-XGB",0.9,0.07,0.03
"BR+-SVMt x RDBR-SVMt",0,1,0
"BR+-SVMt x RDBR-XGB",0.11,0.69,0.2
"BR+-XGB x CC-XGB",0.03,0.97,0
"BR+-XGB x DBR-XGB",0.09,0.91,0
"BR+-XGB x EBR-XGB",1,0,0
"BR+-XGB x ECC-XGB",1,0,0
"BR+-XGB x MBR-XGB",0.59,0.41,0
"BR+-XGB x NS-XGB",0,1,0
