"Strategies","left","rope","right"
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-C5.0",0,1,0
"BR+-C5.0 x DBR-LR",0,0,1
"BR+-C5.0 x DBR-RF",0,0,1
"BR+-C5.0 x DBR-SVM",0,0,1
"BR+-C5.0 x DBR-SVMt",0,0,1
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-C5.0",0,0,1
"BR+-C5.0 x EBR-LR",0,0,1
"BR+-C5.0 x EBR-RF",0,0,1
"BR+-C5.0 x EBR-SVM",0,0,1
"BR+-C5.0 x EBR-SVMt",0,0,1
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-C5.0",0,0,1
"BR+-C5.0 x ECC-LR",0,0,1
"BR+-C5.0 x ECC-RF",0,0,1
"BR+-C5.0 x ECC-SVM",0,0,1
"BR+-C5.0 x ECC-SVMt",0,0,1
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-C5.0",0.23,0.42,0.35
"BR+-C5.0 x MBR-LR",0,0,1
"BR+-C5.0 x MBR-RF",0,0,1
"BR+-C5.0 x MBR-SVM",0,0,1
"BR+-C5.0 x MBR-SVMt",0,0,1
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-C5.0",0,0.09,0.91
"BR+-C5.0 x NS-LR",0,0,1
"BR+-C5.0 x NS-RF",0,0,1
"BR+-C5.0 x NS-SVM",0,0,1
"BR+-C5.0 x NS-SVMt",0,0,1
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-C5.0",0,0.01,0.99
"BR+-C5.0 x PruDent-LR",0,0,1
"BR+-C5.0 x PruDent-RF",0,0,1
"BR+-C5.0 x PruDent-SVM",0,0,1
"BR+-C5.0 x PruDent-SVMt",0,0,1
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x RDBR-LR",0,0,1
"BR+-C5.0 x RDBR-RF",0,0,1
"BR+-C5.0 x RDBR-SVM",0,0,1
"BR+-C5.0 x RDBR-SVMt",0,0,1
"BR+-C5.0 x RDBR-XGB",0,0,1
"BR+-LR x BR-RF",0.01,0,0.99
"BR+-LR x BR-SVM",0,0.86,0.14
"BR+-LR x BR-SVMt",0.11,0.11,0.78
"BR+-LR x BR-XGB",0.21,0.05,0.74
"BR+-LR x BR+-RF",0.07,0,0.93
"BR+-LR x BR+-SVM",0,1,0
"BR+-LR x BR+-SVMt",0.49,0.33,0.18
"BR+-LR x BR+-XGB",0.69,0.02,0.29
"BR+-LR x CC-LR",0,1,0
"BR+-LR x CC-RF",0.03,0,0.97
"BR+-LR x CC-SVM",0,0.99,0
"BR+-LR x CC-SVMt",0.19,0.73,0.08
"BR+-LR x CC-XGB",0.89,0,0.11
"BR+-LR x DBR-LR",0,1,0
"BR+-LR x DBR-RF",0.04,0,0.96
"BR+-LR x DBR-SVM",0,1,0
"BR+-LR x DBR-SVMt",0.39,0.4,0.21
"BR+-LR x DBR-XGB",0.67,0.06,0.27
"BR+-LR x EBR-LR",1,0,0
"BR+-LR x EBR-RF",0.41,0.01,0.58
"BR+-LR x EBR-SVM",0.87,0.09,0.04
"BR+-LR x EBR-SVMt",0.66,0.05,0.29
"BR+-LR x EBR-XGB",0.08,0.21,0.71
"BR+-LR x ECC-LR",1,0,0
"BR+-LR x ECC-RF",0.55,0.01,0.44
"BR+-LR x ECC-SVM",0.58,0.41,0.01
"BR+-LR x ECC-SVMt",0.67,0.11,0.23
"BR+-LR x ECC-XGB",0.16,0.18,0.65
"BR+-LR x MBR-LR",0,1,0
"BR+-LR x MBR-RF",0.03,0,0.97
"BR+-LR x MBR-SVM",0,1,0
"BR+-LR x MBR-SVMt",0.45,0.43,0.12
"BR+-LR x MBR-XGB",0.72,0.04,0.24
"BR+-LR x NS-LR",0,0.94,0.06
"BR+-LR x NS-RF",0.03,0,0.97
"BR+-LR x NS-SVM",0,0.91,0.09
"BR+-LR x NS-SVMt",0.19,0.62,0.18
"BR+-LR x NS-XGB",0.82,0,0.18
"BR+-LR x PruDent-LR",0.46,0.51,0.04
"BR+-LR x PruDent-RF",0.02,0,0.98
"BR+-LR x PruDent-SVM",0,0.99,0.01
"BR+-LR x PruDent-SVMt",0.08,0.15,0.76
"BR+-LR x PruDent-XGB",0.39,0.08,0.52
"BR+-LR x RDBR-LR",0,1,0
