"Strategies","left","rope","right"
"BR-SVM x NS-SVM",0,1,0
"BR-SVM x NS-SVMt",0.89,0.01,0.1
"BR-SVM x NS-XGB",0.97,0,0.03
"BR-SVM x PruDent-SVM",0,1,0
"BR-SVM x PruDent-SVMt",0.08,0.86,0.06
"BR-SVM x PruDent-XGB",0.78,0.04,0.18
"BR-SVM x RDBR-SVM",0.07,0.93,0
"BR-SVM x RDBR-SVMt",0.9,0.03,0.08
"BR-SVM x RDBR-XGB",0.92,0.03,0.06
"BR-SVMt x BR-XGB",0.82,0.04,0.15
"BR-SVMt x BR+-SVMt",0.8,0.18,0.02
"BR-SVMt x BR+-XGB",0.92,0,0.08
"BR-SVMt x CC-SVMt",0.22,0.76,0.02
"BR-SVMt x CC-XGB",0.94,0,0.06
"BR-SVMt x DBR-SVMt",0.86,0.08,0.06
"BR-SVMt x DBR-XGB",0.89,0,0.1
"BR-SVMt x EBR-SVMt",1,0,0
"BR-SVMt x EBR-XGB",0.96,0,0.04
"BR-SVMt x ECC-SVMt",1,0,0
"BR-SVMt x ECC-XGB",0.91,0,0.09
"BR-SVMt x MBR-SVMt",0,1,0
"BR-SVMt x MBR-XGB",0.79,0.01,0.2
"BR-SVMt x NS-SVMt",0.88,0.05,0.07
"BR-SVMt x NS-XGB",0.88,0,0.12
"BR-SVMt x PruDent-SVMt",0,1,0
"BR-SVMt x PruDent-XGB",0.8,0.05,0.15
"BR-SVMt x RDBR-SVMt",0.44,0.52,0.04
"BR-SVMt x RDBR-XGB",0.91,0,0.09
"BR-XGB x BR+-XGB",0.48,0.52,0.01
"BR-XGB x CC-XGB",0.8,0.2,0.01
"BR-XGB x DBR-XGB",0.26,0.71,0.03
"BR-XGB x EBR-XGB",0.94,0.01,0.06
"BR-XGB x ECC-XGB",0.95,0,0.05
"BR-XGB x MBR-XGB",0,1,0
"BR-XGB x NS-XGB",0.57,0.4,0.03
"BR-XGB x PruDent-XGB",0,1,0
"BR-XGB x RDBR-XGB",0.15,0.85,0.01
"BR+-C5.0 x BR-LR",0,0,1
"BR+-C5.0 x BR-RF",0,0,1
"BR+-C5.0 x BR-SVM",0,0,1
"BR+-C5.0 x BR-SVMt",0,0,1
"BR+-C5.0 x BR-XGB",0,0,1
"BR+-C5.0 x BR+-LR",0,0,1
"BR+-C5.0 x BR+-RF",0,0,1
"BR+-C5.0 x BR+-SVM",0,0,1
"BR+-C5.0 x BR+-SVMt",0,0,1
"BR+-C5.0 x BR+-XGB",0,0,1
"BR+-C5.0 x CC-C5.0",0,0.99,0.01
"BR+-C5.0 x CC-LR",0,0,1
"BR+-C5.0 x CC-RF",0,0,1
"BR+-C5.0 x CC-SVM",0,0,1
"BR+-C5.0 x CC-SVMt",0,0,1
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-C5.0",0.88,0.12,0
"BR+-C5.0 x DBR-LR",0,0,1
"BR+-C5.0 x DBR-RF",0,0,1
"BR+-C5.0 x DBR-SVM",0,0,1
"BR+-C5.0 x DBR-SVMt",0,0,1
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-C5.0",0.01,0,0.99
"BR+-C5.0 x EBR-LR",0.05,0,0.95
"BR+-C5.0 x EBR-RF",0,0,1
"BR+-C5.0 x EBR-SVM",0.04,0,0.96
"BR+-C5.0 x EBR-SVMt",0.02,0,0.98
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-C5.0",0.01,0,0.99
"BR+-C5.0 x ECC-LR",0.06,0,0.94
"BR+-C5.0 x ECC-RF",0,0,1
"BR+-C5.0 x ECC-SVM",0.03,0,0.97
"BR+-C5.0 x ECC-SVMt",0.02,0,0.98
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-C5.0",0.07,0.26,0.67
"BR+-C5.0 x MBR-LR",0,0,1
"BR+-C5.0 x MBR-RF",0,0,1
"BR+-C5.0 x MBR-SVM",0,0,1
"BR+-C5.0 x MBR-SVMt",0.01,0,0.99
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-C5.0",0.02,0.02,0.96
"BR+-C5.0 x NS-LR",0,0,1
"BR+-C5.0 x NS-RF",0,0,1
"BR+-C5.0 x NS-SVM",0,0,1
"BR+-C5.0 x NS-SVMt",0.01,0,0.99
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-C5.0",0.01,0.02,0.97
"BR+-C5.0 x PruDent-LR",0,0,1
"BR+-C5.0 x PruDent-RF",0,0,1
"BR+-C5.0 x PruDent-SVM",0,0,1
"BR+-C5.0 x PruDent-SVMt",0,0,1
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x RDBR-LR",0,0,1
"BR+-C5.0 x RDBR-RF",0,0,1
"BR+-C5.0 x RDBR-SVM",0,0,1
"BR+-C5.0 x RDBR-SVMt",0,0,1
"BR+-C5.0 x RDBR-XGB",0,0,1
"BR+-LR x BR-RF",0.05,0.02,0.93
"BR+-LR x BR-SVM",0,0.94,0.06
"BR+-LR x BR-SVMt",0.17,0.3,0.53
"BR+-LR x BR-XGB",0.73,0.09,0.18
"BR+-LR x BR+-RF",0.09,0.09,0.82
"BR+-LR x BR+-SVM",0,1,0
"BR+-LR x BR+-SVMt",0.49,0.42,0.09
"BR+-LR x BR+-XGB",0.91,0.01,0.08
"BR+-LR x CC-LR",0,1,0
"BR+-LR x CC-RF",0.06,0.08,0.86
"BR+-LR x CC-SVM",0,1,0
"BR+-LR x CC-SVMt",0.45,0.4,0.15
"BR+-LR x CC-XGB",0.94,0,0.06
"BR+-LR x DBR-LR",0,1,0
