"Strategies","left","rope","right"
"BR-XGB x NS-XGB",0.03,0.97,0
"BR-XGB x PruDent-XGB",0,1,0
"BR-XGB x RDBR-XGB",0.27,0.68,0.04
"BR+-C5.0 x BR-LR",0,0,1
"BR+-C5.0 x BR-RF",0,0,1
"BR+-C5.0 x BR-SVM",0,0,1
"BR+-C5.0 x BR-SVMt",0,0,1
"BR+-C5.0 x BR-XGB",0,0,1
"BR+-C5.0 x BR+-LR",0,0,1
"BR+-C5.0 x BR+-RF",0,0,1
"BR+-C5.0 x BR+-SVM",0,0,1
"BR+-C5.0 x BR+-SVMt",0,0,1
"BR+-C5.0 x BR+-XGB",0,0,1
"BR+-C5.0 x CC-C5.0",0,1,0
"BR+-C5.0 x CC-LR",0,0,1
"BR+-C5.0 x CC-RF",0,0,1
"BR+-C5.0 x CC-SVM",0,0,1
"BR+-C5.0 x CC-SVMt",0,0,1
"BR+-C5.0 x CC-XGB",0,0,1
"BR+-C5.0 x DBR-C5.0",0.01,0.99,0
"BR+-C5.0 x DBR-LR",0,0,1
"BR+-C5.0 x DBR-RF",0,0,1
"BR+-C5.0 x DBR-SVM",0,0,1
"BR+-C5.0 x DBR-SVMt",0,0,1
"BR+-C5.0 x DBR-XGB",0,0,1
"BR+-C5.0 x EBR-C5.0",0,0,1
"BR+-C5.0 x EBR-LR",0,0,1
"BR+-C5.0 x EBR-RF",0,0,1
"BR+-C5.0 x EBR-SVM",0,0,1
"BR+-C5.0 x EBR-SVMt",0,0,1
"BR+-C5.0 x EBR-XGB",0,0,1
"BR+-C5.0 x ECC-C5.0",0,0,1
"BR+-C5.0 x ECC-LR",0,0,1
"BR+-C5.0 x ECC-RF",0,0,1
"BR+-C5.0 x ECC-SVM",0,0,1
"BR+-C5.0 x ECC-SVMt",0,0,1
"BR+-C5.0 x ECC-XGB",0,0,1
"BR+-C5.0 x MBR-C5.0",0.02,0.98,0
"BR+-C5.0 x MBR-LR",0,0,1
"BR+-C5.0 x MBR-RF",0,0,1
"BR+-C5.0 x MBR-SVM",0,0,1
"BR+-C5.0 x MBR-SVMt",0,0,1
"BR+-C5.0 x MBR-XGB",0,0,1
"BR+-C5.0 x NS-C5.0",0,0.9,0.1
"BR+-C5.0 x NS-LR",0,0,1
"BR+-C5.0 x NS-RF",0,0,1
"BR+-C5.0 x NS-SVM",0,0,1
"BR+-C5.0 x NS-SVMt",0,0,1
"BR+-C5.0 x NS-XGB",0,0,1
"BR+-C5.0 x PruDent-C5.0",0.04,0.44,0.52
"BR+-C5.0 x PruDent-LR",0,0,1
"BR+-C5.0 x PruDent-RF",0,0,1
"BR+-C5.0 x PruDent-SVM",0,0,1
"BR+-C5.0 x PruDent-SVMt",0,0,1
"BR+-C5.0 x PruDent-XGB",0,0,1
"BR+-C5.0 x RDBR-C5.0",0,1,0
"BR+-C5.0 x RDBR-LR",0,0,1
"BR+-C5.0 x RDBR-RF",0,0,1
"BR+-C5.0 x RDBR-SVM",0,0,1
"BR+-C5.0 x RDBR-SVMt",0,0,1
"BR+-C5.0 x RDBR-XGB",0,0,1
"BR+-LR x BR-RF",0.07,0,0.93
"BR+-LR x BR-SVM",0.19,0.03,0.78
"BR+-LR x BR-SVMt",0.39,0.28,0.33
"BR+-LR x BR-XGB",0.12,0,0.88
"BR+-LR x BR+-RF",0.06,0,0.94
"BR+-LR x BR+-SVM",0,1,0
"BR+-LR x BR+-SVMt",0.11,0.63,0.26
"BR+-LR x BR+-XGB",0.19,0,0.81
"BR+-LR x CC-LR",0,0.98,0.02
"BR+-LR x CC-RF",0.1,0,0.9
"BR+-LR x CC-SVM",0,0.99,0.01
"BR+-LR x CC-SVMt",0.09,0.6,0.31
"BR+-LR x CC-XGB",0.08,0,0.92
"BR+-LR x DBR-LR",0,1,0
"BR+-LR x DBR-RF",0.07,0,0.93
"BR+-LR x DBR-SVM",0,1,0
"BR+-LR x DBR-SVMt",0.17,0.44,0.38
"BR+-LR x DBR-XGB",0.23,0,0.77
"BR+-LR x EBR-LR",1,0,0
"BR+-LR x EBR-RF",0.26,0,0.74
"BR+-LR x EBR-SVM",0.99,0,0.01
"BR+-LR x EBR-SVMt",0.68,0,0.32
"BR+-LR x EBR-XGB",0.29,0,0.71
"BR+-LR x ECC-LR",1,0,0
"BR+-LR x ECC-RF",0.25,0,0.75
"BR+-LR x ECC-SVM",0.99,0,0.01
"BR+-LR x ECC-SVMt",0.71,0,0.28
